direk,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Michèle Ohayon,8.5,2,17.0,228.0,3608.5,1918.25,290.0
Deborah Stratman,8.5,2,17.0,228.0,3608.5,1918.25,290.0
Todd Kessler,8.5,2,17.0,228.0,3608.5,1918.25,290.0
James Wan,6.844444444444444,9,61.599999999999994,3181.0,663.5,1922.25,292.0
Robert Hamer,7.466666666666666,3,22.4,1294.0,2558.0,1926.0,294.0
Fernando Arrabal,7.466666666666666,3,22.4,1294.0,2558.0,1926.0,294.0
Mark Osborne,7.466666666666666,3,22.4,1294.0,2558.0,1926.0,294.0
Sebastian Schipper,7.199999999999999,4,28.799999999999997,1959.5,1896.5,1928.0,296.0
Sylvain Chomet,7.175000000000001,4,28.700000000000003,1976.0,1898.0,1937.0,297.0
Chris Smith,7.175,4,28.7,1977.0,1899.5,1938.25,298.0
Theo Angelopoulos,6.76153846153846,13,87.89999999999998,3535.0,345.0,1940.0,299.0
Derek Jarman,6.822222222222222,9,61.4,3216.0,665.0,1940.5,300.0
Dinos Katsouridis,8.45,2,16.9,255.5,3631.0,1943.25,301.5
Robert Houston,8.45,2,16.9,255.5,3631.0,1943.25,301.5
Juraj Herz,7.433333333333334,3,22.3,1320.5,2568.5,1944.5,303.0
Alejandro Jodorowsky,6.811111111111111,9,61.3,3228.0,666.0,1947.0,304.5
George Roy Hill,6.742857142857143,14,94.4,3590.5,303.5,1947.0,304.5
Kazuchika Kise,7.15,4,28.6,2003.5,1904.0,1953.75,306.5
Harold Young,7.15,4,28.6,2003.5,1904.0,1953.75,306.5
Ferzan Ozpetek,6.8,10,68.0,3369.5,544.5,1957.0,308.5
Guy Ritchie,6.8,10,68.0,3369.5,544.5,1957.0,308.5
T.J. Martin,8.350000000000001,2,16.700000000000003,271.0,3651.0,1961.0,310.0
Agnieszka Holland,6.72142857142857,14,94.09999999999998,3626.0,305.0,1965.5,311.0
Woody Allen,6.6918367346938785,49,327.90000000000003,3928.0,5.0,1966.5,312.0
Daisuke Tengan,8.35,2,16.7,272.5,3661.5,1967.0,313.0
Ang Lee,6.714285714285714,14,94.0,3631.5,306.5,1969.0,314.5
Alan Parker,6.714285714285714,14,94.0,3631.5,306.5,1969.0,314.5
Juliusz Machulski,6.738461538461539,13,87.60000000000001,3603.0,346.0,1974.5,316.0
Anders Thomas Jensen,7.125,4,28.5,2033.5,1916.0,1974.75,318.0
Kwak Jae-yong,7.125,4,28.5,2033.5,1916.0,1974.75,318.0
Niki Caro,7.125,4,28.5,2033.5,1916.0,1974.75,318.0
Edgar Wright,6.983333333333334,6,41.900000000000006,2797.0,1154.5,1975.75,320.0
Clint Eastwood,6.685714285714285,35,233.99999999999997,3933.0,19.0,1976.0,322.0
Terence Davies,6.85,8,54.8,3163.5,788.5,1976.0,322.0
Bill Plympton,6.85,8,54.8,3163.5,788.5,1976.0,322.0
Darren Aronofsky,6.983333333333333,6,41.9,2798.0,1156.5,1977.25,324.0
Bobcat Goldthwait,6.79090909090909,11,74.69999999999999,3501.0,459.0,1980.0,325.0
Erick Zonca,7.1000000000000005,4,28.400000000000002,2049.5,1921.0,1985.25,326.0
Lone Scherfig,6.8375,8,54.7,3185.0,791.5,1988.25,327.0
Richard Attenborough,6.772727272727272,11,74.49999999999999,3515.0,462.0,1988.5,328.0
Patrick Schulmann,8.3,2,16.6,298.5,3679.5,1989.0,329.5
Estela Renner,8.3,2,16.6,298.5,3679.5,1989.0,329.5
Louis C.K.,6.763636363636365,11,74.4,3533.0,463.0,1998.0,331.0
Bruno Dumont,6.741666666666667,12,80.9,3593.0,404.0,1998.5,332.0
Yuen Woo-ping,6.754545454545456,11,74.30000000000001,3540.0,465.0,2002.5,333.0
Mikhail Kalatozov,6.95,6,41.7,2846.5,1159.5,2003.0,334.0
John Moffitt,6.824999999999999,8,54.599999999999994,3213.5,793.5,2003.5,335.5
Jacques Demy,6.754545454545454,11,74.3,3541.0,466.0,2003.5,335.5
Ernst Lubitsch,6.676000000000001,25,166.90000000000003,3942.0,68.0,2005.0,337.0
Chris Cunningham,8.25,2,16.5,326.0,3698.0,2012.0,340.0
Ken Jacobs,8.25,2,16.5,326.0,3698.0,2012.0,340.0
Eduard Nazarov,8.25,2,16.5,326.0,3698.0,2012.0,340.0
Curt Morgan,8.25,2,16.5,326.0,3698.0,2012.0,340.0
Vlado Škafar,8.25,2,16.5,326.0,3698.0,2012.0,340.0
Alfred Hitchcock,6.639622641509435,53,351.90000000000003,4023.0,3.0,2013.0,343.0
Roberto Benigni,6.933333333333334,6,41.6,2872.0,1162.5,2017.25,344.0
Roberto Rossellini,6.690476190476191,21,140.5,3929.0,113.0,2021.0,345.0
Louis Malle,6.672727272727273,22,146.8,3948.0,98.0,2023.0,346.5
Antoine Fuqua,6.708333333333333,12,80.5,3636.0,410.0,2023.0,346.5
Władysław Pasikowski,7.0,5,35.0,2550.5,1496.0,2023.25,348.5
Walter Ruttmann,7.0,5,35.0,2550.5,1496.0,2023.25,348.5
Byron Howard,7.3999999999999995,3,22.2,1474.5,2581.0,2027.75,351.0
Na Hong-jin,7.3999999999999995,3,22.2,1474.5,2581.0,2027.75,351.0
Mike de Leon,7.3999999999999995,3,22.2,1474.5,2581.0,2027.75,351.0
James Gunn,7.1,4,28.4,2132.0,1924.5,2028.25,355.5
Tim McCanlies,7.1,4,28.4,2132.0,1924.5,2028.25,355.5
Bob Smeaton,7.1,4,28.4,2132.0,1924.5,2028.25,355.5
Julia Sweeney,8.2,2,16.4,341.0,3715.5,2028.25,355.5
Jennifer Siebel Newsom,8.2,2,16.4,341.0,3715.5,2028.25,355.5
Tetsuya Nakashima,7.1,4,28.4,2132.0,1924.5,2028.25,355.5
Christian Petzold,6.8999999999999995,7,48.3,3112.5,957.5,2035.0,359.0
Steve McQueen,7.366666666666667,3,22.1,1484.0,2591.0,2037.5,362.0
Trent Harris,7.366666666666667,3,22.1,1484.0,2591.0,2037.5,362.0
Sophie Fiennes,7.366666666666667,3,22.1,1484.0,2591.0,2037.5,362.0
John Dower,7.366666666666667,3,22.1,1484.0,2591.0,2037.5,362.0
